Data          Hora     Bar   Temp_atual       Temp_med         Temp_min        Temp_max        Press_atual     Press_med      Press_min       Press_max
13/11/2024   12:00:00   1     17.14		17.17		11.76		17.55		941.21		941.58		939.69		942.47
                        2     21.19		21.17		12.42		21.48		939.71		939.81		938.39		940.11

13/11/2024   13:00:00   1     17.40		17.25		11.76		17.55		941.02		941.27		939.69		942.47
                        2     21.23		21.17		12.42		21.48		939.28		939.49		938.21		940.76

13/11/2024   17:00:00   1     18.43		18.14		17.75		18.46		939.48		939.22		938.43		940.49
                        2     22.11		21.90		21.78		22.11		937.54		937.52		937.37		937.66

13/11/2024   18:00:00   1     18.67		18.71		17.75		18.89		940.30		939.66		938.43		940.58
                        2     22.28		22.33		21.78		22.40		938.43		937.94		937.37		938.53

13/11/2024   19:00:00   1     17.97		18.30		17.75		18.89		941.41		940.72		938.43		941.95
                        2     21.33		21.81		21.31		22.40		939.57		938.98		937.37		939.57

13/11/2024   20:00:00   1     17.14		17.83		17.12		18.89		942.16		941.35		938.43		942.83
                        2     20.57		21.27		20.57		22.40		940.35		939.57		937.37		940.45

13/11/2024   21:00:00   1     16.56		17.47		16.49		18.89		942.61		941.73		938.43		943.48
                        2     19.98		20.88		19.98		22.40		940.76		939.98		937.37		940.88

13/11/2024   22:00:00   1     16.15		17.16		15.99		18.89		942.72		941.96		938.43		943.84
                        2     19.51		20.57		19.50		22.40		940.89		940.22		937.37		941.08

13/11/2024   23:00:00   1     15.69		16.89		15.64		18.89		942.54		942.06		938.43		943.84
                        2     19.13		20.30		19.13		22.40		940.69		940.33		937.37		941.08

14/11/2024   00:00:00   1     15.38		16.66		15.34		18.89		942.34		942.12		938.43		943.84
                        2     18.82		20.07		18.82		22.40		940.71		940.39		937.37		941.08

14/11/2024   08:00:00   1     23.06		21.32		19.74		23.04		942.70		942.63		941.81		943.44
                        2     21.74		20.34		19.22		21.73		941.19		941.07		940.94		941.24

